序号,招聘信息id,公司地址,招聘岗位,公司类型,最低薪资,最高薪资,员工数量,学历,岗位经验,企业名称,企业类型
290,1505817661383245824,高新技术产业开发区科丰路31号自编二栋华南新材料创新园G5栋203,算法工程师,50-100人,3500,8000,合资,2,经验不限,西麦科技,"[""电子商务"",""互联网""]"
291,1505812435586646016,广州大道南墩和路 189 号海珠科技创业园,电商数据分析师,150-500人,3500,10000,上市公司,2,1-3年,青木科技,"[""电子商务"",""互联网""]"
292,1505811813466505216,广州大道南墩和路 189 号海珠科技创业园,电商客服专员,150-500人,3500,10000,上市公司,2,经验不限,青木科技,"[""电子商务"",""互联网""]"
293,1504651614491901952,.,数据实施顾问,150-500人,3500,10000,外资,3,经验不限,广州鼎捷软件有限公司,"[""电子商务"",""互联网""]"
294,1500751463561953280,大学城北E1出口研发大厦,客户专员（管培生）,500-1000人,3500,10000,合资,2,经验不限,广州探迹科技有限公司,"[""互联网""]"
295,1500742356255768576,长安oppo工业园 长安镇海滨路18号,驻场oppo-测试工程师,150-500人,3500,9000,合资,2,经验不限,软通动力,"[""电子商务"",""互联网""]"
296,1500736903807369216,元岗路310号智汇创意园E座601～603单元,射频工程师,500-1000人,8000,12000,合资,2,经验不限,铭太科技,"[""电子商务"",""互联网""]"
297,1500736261344854016,元岗路310号智汇创意园E座601～603单元,人力资源经理,500-1000人,4000,12000,合资,3,1-3年,铭太科技,"[""电子商务"",""互联网""]"
298,1499295788684148736,高新园迈科龙大厦18-19层（工作地点：广州-上海-大连-成都-北京）,咨询经理,500-1000人,10000,40000,上市公司,3,3-5年,索信达,"[""电子商务"",""互联网""]"
299,1495587472564944896,山东省淄博市周村区北郊镇齐鲁数谷9号楼5层6层,数据标注员,500-1000人,3000,8000,合资,3,经验不限,路米科技,"[""互联网""]"
300,1498128515160211456,大观中路492号广东岭南职业技术学院岭南科技中心二楼B-3室(本住所限写字楼功能),实施工程师,150-500人,4800,8000,合资,3,经验不限,今宏信息科技,"[""电子商务"",""互联网""]"
301,1498128430821146624,大观中路492号广东岭南职业技术学院岭南科技中心二楼B-3室(本住所限写字楼功能),JAVA开发工程师,150-500人,4800,8000,合资,3,经验不限,今宏信息科技,"[""电子商务"",""互联网""]"
302,1498119536778543104,粤海街道粤兴三道8号中地大楼7层B701-710,软件测试开发工程师,150-500人,6000,9000,合资,3,经验不限,德科信息,"[""互联网"",""电子商务""]"
303,1498118648131354624,粤海街道粤兴三道8号中地大楼7层B701-710,游戏测试工程师,150-500人,6000,9000,合资,3,经验不限,德科信息,"[""互联网"",""电子商务""]"
304,1498118865987698688,粤海街道粤兴三道8号中地大楼7层B701-710,软件测试工程师,150-500人,6000,9000,合资,3,经验不限,德科信息,"[""互联网"",""电子商务""]"
305,1495678355498991616,大观南路12号209房,JAVA开发,500-1000人,5000,5000,合资,3,经验不限,星徽联广州,"[""电子商务"",""互联网""]"
306,1495652137043099648,高普路1035号5楼,数据实习生,150-500人,150,150,上市公司,2,经验不限,盛祺信息,"[""电子商务"",""互联网""]"
307,1494565714886000640,建工路1号南天大厦五楼,Java开发工程师（广州/重庆/福州都有招聘）,150-500人,6000,10000,合资,3,经验不限,广州南天电脑系统,"[""互联网""]"
308,1494561403477032960,建工路1号南天大厦五楼,数据库管理员（广州）,150-500人,6000,10000,合资,2,经验不限,广州南天电脑系统,"[""互联网""]"
309,1494560895295160320,建工路1号南天大厦五楼,网络工程师/系统工程师（广州）,150-500人,6000,10000,合资,2,经验不限,广州南天电脑系统,"[""互联网""]"
310,1493425099607506944,章丘区经十东路章丘双创基地,百度数据标注员,1000-5000人,4500,6000,上市公司,2,经验不限,点米网络科技,"[""互联网"",""电子商务""]"
311,1471751694089060352,城科林路9、11号,大数据开发工程师-运通信息,500-1000人,10000,20000,国企,4,经验不限,广电运通,"[""电子商务"",""互联网""]"
312,1493114087687716864,中国(四川)自由贸易试验区成都高新区天府大道北段1700号7栋1单元2131号,初级安服工程师,50-100人,100,150,合资,2,经验不限,忆享科技,"[""电子商务"",""互联网""]"
313,1493104259552641024,长安镇锦厦社区河南工业区锦升路8号,视觉应用工程师,500-1000人,4000,10000,合资,2,经验不限,奥普特,"[""电子商务"",""互联网""]"
314,1493066715620311040,科技园区昌盛路18号A2号楼3层306-311室,高德地图数据编辑,150-500人,2400,7000,合资,2,经验不限,星天地信息,"[""互联网"",""电子商务""]"
315,1493064955967176704,洪泽湖东路与清水江路交叉口,客服顾问,10000人以上,3380,5000,上市公司,2,经验不限,京东信息,"[""电子商务"",""互联网""]"
316,1493062136493113344,杭州新天地商务中心4幢东楼1303室,比价审核岗,150-500人,4000,5000,合资,2,经验不限,笋尖网络,"[""互联网"",""电子商务""]"
317,1493061952556105728,杭州新天地商务中心4幢东楼1303室,直播审核岗,150-500人,4000,5000,合资,2,经验不限,笋尖网络,"[""互联网"",""电子商务""]"
318,1493061872331653120,杭州新天地商务中心4幢东楼1303室,视频审核岗,150-500人,4000,5000,合资,2,经验不限,笋尖网络,"[""互联网"",""电子商务""]"
319,1467758425965461504,开泰大道36号凯得科学会广场1栋2楼212室,客服专员,150-500人,5000,12000,民营公司,2,经验不限,泰迪科技,"[""互联网"",""计算机软件""]"
320,1492018398631165952,.,AI平台研发工程师（实习）,150-500人,6000,10000,合资,3,经验不限,蓦然认知,"[""互联网""]"
321,1492018500066213888,.,AI算法工程师（实习）,150-500人,6000,10000,合资,3,经验不限,蓦然认知,"[""互联网""]"
322,1491313565926293504,光华路7号汉威大厦,校招岗位,500-1000人,4500,7500,合资,2,经验不限,中智公司,"[""互联网"",""数据服务""]"
323,1491308320093503488,科发路8号金融服务技术创新基地2栋11B1单元,测试工程师,10000人以上,4000,12000,上市公司,3,经验不限,神州信息,"[""电子商务"",""互联网""]"
324,1491308211175817216,科发路8号金融服务技术创新基地2栋11B1单元,大数据开发工程师,10000人以上,4000,12000,上市公司,3,经验不限,神州信息,"[""电子商务"",""互联网""]"
325,1491308054879272960,科发路8号金融服务技术创新基地2栋11B1单元,数据库开发工程师,10000人以上,4000,12000,上市公司,3,经验不限,神州信息,"[""电子商务"",""互联网""]"
326,1491307730626019328,科发路8号金融服务技术创新基地2栋11B1单元,前端开发工程师,10000人以上,4000,12000,上市公司,3,经验不限,神州信息,"[""电子商务"",""互联网""]"
327,1491307648031784960,科发路8号金融服务技术创新基地2栋11B1单元,Java开发工程师,10000人以上,4000,12000,上市公司,3,经验不限,神州信息,"[""电子商务"",""互联网""]"
328,1491293872620437504,桂城街道融和路25号荣耀国际金融中心4层401-408室(住所申报),电商客服,150-500人,4000,10000,合资,2,经验不限,泰盈科技,"[""人力资源服务"",""企业服务""]"
329,1491294465468530688,桂城街道融和路25号荣耀国际金融中心4层401-408室(住所申报),银行账单分期专员,150-500人,4000,10000,合资,2,经验不限,泰盈科技,"[""人力资源服务"",""企业服务""]"
330,1480819048261484544,--钱塘新区22号大街强林云通物流仓储园4栋3层速麦科技,管培生,150-500人,4000,10000,合资,2,经验不限,漋海科技,"[""互联网"",""电子商务""]"
331,1486631973937086464,广州,2022校招-优粤生,50-100人,4500,8000,合资,3,经验不限,数字广东,"[""互联网""]"
332,1486236527410413568,卓悦中心L1层,新零售管培生,500-1000人,7000,12000,合资,3,经验不限,华为慧通,"[""电子商务"",""智能硬件""]"
333,1486235717301567488,卓悦中心L1层,交互与视觉设计,500-1000人,7000,12000,合资,2,经验不限,华为慧通,"[""电子商务"",""智能硬件""]"
334,1486235368696184832,卓悦中心L1层,知识专员,500-1000人,7000,12000,合资,2,经验不限,华为慧通,"[""电子商务"",""智能硬件""]"
335,1486234958845575168,卓悦中心L1层,服务解决方案工程师,500-1000人,7000,12000,合资,3,经验不限,华为慧通,"[""电子商务"",""智能硬件""]"
336,1486234664229273600,卓悦中心L1层,合同专员,500-1000人,7000,12000,合资,2,经验不限,华为慧通,"[""电子商务"",""智能硬件""]"
337,1486234200884510720,卓悦中心L1层,创意设计,500-1000人,7000,12000,合资,2,经验不限,华为慧通,"[""电子商务"",""智能硬件""]"
338,1486233809081991168,卓悦中心L1层,互联网运营,500-1000人,7000,12000,合资,2,经验不限,华为慧通,"[""电子商务"",""智能硬件""]"
339,1486233373226696704,卓悦中心L1层,终端培训师,500-1000人,7000,12000,合资,2,经验不限,华为慧通,"[""电子商务"",""智能硬件""]"
340,1486232892102279168,卓悦中心L1层,服务技术顾问,500-1000人,7000,12000,合资,2,经验不限,华为慧通,"[""电子商务"",""智能硬件""]"
341,1486232539046739968,卓悦中心L1层,服务体验顾问,500-1000人,7000,12000,合资,2,经验不限,华为慧通,"[""电子商务"",""智能硬件""]"
342,1486232195864592384,卓悦中心L1层,线上服务顾问,500-1000人,7000,12000,合资,2,经验不限,华为慧通,"[""电子商务"",""智能硬件""]"
343,1486231848324562944,卓悦中心L1层,体验店顾问,500-1000人,7000,12000,合资,2,经验不限,华为慧通,"[""电子商务"",""智能硬件""]"
344,1486231371935514624,卓悦中心L1层,终端销售代表,500-1000人,7000,12000,合资,2,经验不限,华为慧通,"[""电子商务"",""智能硬件""]"
345,1483722281619423232,护林路152号101房、154号101房、156号101房、158号101房、160号1,实习生,少于50人,150,200,合资,3,经验不限,广州腾普信息,"[""互联网""]"
346,1475288100623220736,高普路1035号5楼,数据服务部工程师,150-500人,100,100,上市公司,3,经验不限,盛祺信息,"[""电子商务"",""互联网""]"
347,1482196338836897812,广州天河区,产品经理,50-100人,15000,20000,合资,3,3,北京西骏数据科技股份有限公司,"[""互联网""]"
348,1482196338836897811,广州,数据产品技术经理,50-100人,15000,25000,合资,3,5,先进数通,"[""互联网""]"
349,1482196338836897810,广州天河区,数据分析师,50-100人,10000,15000,合资,3,1,新意互动,"[""互联网""]"
350,1482196338836897809,广州天河区,数据分析师,50-100人,10000,15000,合资,3,1,新意互动,"[""互联网""]"
351,1482196338836897808,广州天河区,数据分析师（广州）,50-100人,7000,10000,合资,3,0,蓝色光标,"[""互联网""]"
352,1482196338836897807,广州越秀区,人力资源数据分析师,50-100人,8000,15000,合资,3,0,百胜餐饮(广东)有限公司广州物流中心,"[""互联网""]"
353,1482196338836897806,广州越秀区,人力资源数据分析师,50-100人,8000,15000,合资,3,0,百胜餐饮(广东)有限公司广州物流中心,"[""互联网""]"
354,1482196338836897805,广州,高级数据分析师/主管,50-100人,15000,25000,合资,3,3,佰聆数据,"[""互联网""]"
355,1482196338836897804,广州越秀区,数据分析师,50-100人,12000,18000,合资,2,0,佰聆数据,"[""互联网""]"
356,1482196338836897803,广州,高级数据分析师/主管,50-100人,15000,25000,合资,3,3,佰聆数据,"[""互联网""]"
357,1482196338836897802,广州越秀区,数据分析师,50-100人,12000,18000,合资,2,0,佰聆数据,"[""互联网""]"
358,1482196338836897801,广州黄埔区,产品经理,50-100人,9000,15000,合资,3,3,佰聆数据,"[""互联网""]"
359,1482196338836897800,广州,大数据产品经理,50-100人,15000,30000,合资,3,5,佰聆数据,"[""互联网""]"
360,1482196338836897799,广州天河区,高级产品经理,50-100人,25000,35000,合资,3,3,用友融联,"[""互联网""]"
361,1482196338836897798,广州越秀区,etl开发工程师,50-100人,7000,13000,合资,3,0,北京创景咨询有限公司,"[""互联网""]"
362,1482196338836897797,广州,ETL数据库开发工程师,50-100人,10000,18000,合资,3,1,泛鹏天地,"[""互联网""]"
363,1482196338836897796,广州天河区,NLP算法工程师,50-100人,20000,35000,合资,3,1,Flow++,"[""互联网""]"
364,1482196338836897795,广州越秀区,数据产品经理,50-100人,20000,25000,合资,3,3,TCL金融,"[""互联网""]"
365,1482196338836897794,广州,Planning Analyst 数据分析员,50-100人,7000,9000,合资,3,3,阿乐斯,"[""互联网""]"
366,1482196338836897793,广州,阿里灵犀互娱-游戏数据分析师-广州,50-100人,10000,15000,合资,2,1,阿里巴巴集团,"[""互联网""]"
367,1482196338836897792,广州,阿里灵犀互娱-游戏数据分析师-广州,50-100人,10000,15000,合资,2,1,阿里巴巴集团,"[""互联网""]"
368,1482196338832703503,广州,大文娱互动娱乐事业部-高级数据产品经理-买量平台,50-100人,10000,15000,合资,2,0,阿里巴巴集团,"[""互联网""]"
369,1482196338832703502,广州,高级数据分析师（经理级）,50-100人,35000,45000,合资,3,3,安利(中国),"[""互联网""]"
370,1482196338832703501,广州,高级数据分析师,50-100人,30000,45000,合资,3,3,安利(中国),"[""互联网""]"
371,1482196338832703500,广州,（资深/高级）数据分析师,50-100人,12000,35000,合资,3,3,安利(中国),"[""互联网""]"
372,1482196338832703499,广州,(高级）数据分析师,50-100人,10000,20000,合资,3,3,安利(中国),"[""互联网""]"
373,1482196338832703498,广州,（高级）数据分析师-顾客体验及数字化业务,50-100人,15000,20000,合资,3,3,安利(中国),"[""互联网""]"
374,1482196338832703497,广州,高级数据分析师（经理级）,50-100人,35000,45000,合资,3,3,安利(中国),"[""互联网""]"
375,1482196338832703496,广州,高级数据分析师,50-100人,30000,45000,合资,3,3,安利(中国),"[""互联网""]"
376,1482196338832703495,广州,（资深/高级）数据分析师,50-100人,12000,35000,合资,3,3,安利(中国),"[""互联网""]"
377,1482196338832703494,广州,Data Analyst,50-100人,13000,30000,合资,3,0,安利(中国),"[""互联网""]"
378,1482196338832703493,广州,(高级）数据分析师,50-100人,10000,20000,合资,3,3,安利(中国),"[""互联网""]"
379,1482196338832703492,广州,（高级）数据分析师-顾客体验及数字化业务,50-100人,15000,20000,合资,3,3,安利(中国),"[""互联网""]"
380,1482196338832703491,广州,（高级）数据分析师-顾客体验及数字化业务,50-100人,15000,20000,合资,3,3,安利(中国),"[""互联网""]"
381,1482196338832703490,广州海珠区,算法工程师 - 自然语言处理,50-100人,15000,25000,合资,3,3,安永EY,"[""互联网""]"
382,1482196338832703489,广州番禺区,数据分析师（数据开发方向）,50-100人,12000,18000,合资,3,1,百度广州分公司,"[""互联网""]"
383,1482196338832703488,广州番禺区,数据分析师（数据开发方向）,50-100人,12000,18000,合资,3,1,百度广州分公司,"[""互联网""]"
384,1482196280712232995,广州天河区,产品经理,50-100人,15000,20000,合资,3,3,北京西骏数据科技股份有限公司,"[""互联网""]"
385,1482196280712232994,广州,数据产品技术经理,50-100人,15000,25000,合资,3,5,先进数通,"[""互联网""]"
